Id,TURNO_MATRICULA,SITUACAO_CIVIL_ALUNO,SEXO_ALUNO,DATA_CADASTRO_REQUERIMENTO,MOTIVO_REQUERIMENTO,TURMA,AREA_TURMA
16,Noturno,Solteiro(a),Masculino,2019-09-03,Outros Motivos,SUPERIOR DE TECNOLOGIA EM GESTÃO COMERCIAL - II MÓDULO,Gestäo
17,Noturno,Solteiro(a),Masculino,2019-09-03,Outros Motivos,SUPERIOR DE TECNOLOGIA EM GESTÃO COMERCIAL - II MÓDULO,Gestäo
18,Matutino,Solteiro(a),Feminino,2019-09-02,Motivo de Trabalho,SUPERIOR DE TECNOLOGIA EM DESIGN GRÁFICO - II MÓDULO - VN,Design
19,Noturno,Solteiro(a),Masculino,2019-08-31,Motivo de Saúde,SUPERIOR DE TECNOLOGIA EM GESTÃO DA TECNOLOGIA DA INFORMAÇÃO - IV MÓDULO,Informática
20,Noturno,Solteiro(a),Feminino,2019-08-30,Não se identificou com o curso,Superior de Tecnologia em Análise e Desenvolvimento de Sistemas - Módulo I,Informática
21,Noturno,Solteiro(a),Masculino,2019-08-30,Motivo de Trabalho,SUPERIOR DE TECNOLOGIA EM GESTÃO COMERCIAL - II MÓDULO,Gestäo
22,Noturno,Solteiro(a),Masculino,2019-08-29,Motivo de Trabalho,CURSO SUPERIOR DE TECNOLOGIA EM LOGÍSTICA - MÓDULO II,Gestäo
23,Noturno,Solteiro(a),Masculino,2019-08-29,Motivo de Viagens,SUPERIOR DE TECNOLOGIA EM DESIGN GRÁFICO - II MÓDULO,Design
24,Matutino,Solteiro(a),Feminino,2019-08-29,Outros Motivos,SUPERIOR DE TECNOLOGIA EM DESIGN GRÁFICO - II MÓDULO - VN,Design
25,Noturno,Solteiro(a),Masculino,2019-08-28,Mudança de Município,SUPERIOR DE TECNOLOGIA EM DESIGN GRÁFICO - IV MÓDULO,Design
26,Noturno,Solteiro(a),Masculino,2019-08-28,Motivo de Saúde,SUPERIOR DE TECNOLOGIA EM GESTÃO COMERCIAL - II MÓDULO,Gestäo
27,Noturno,Solteiro(a),Feminino,2019-08-26,Motivo de Saúde,Superior de Tecnologia em Análise e Desenvolvimento de Sistemas - Módulo I,Informática
28,Matutino,Casado(a),Feminino,2019-08-23,Cancelamento da Programação,Curso Superior de Tecnologia em Estética e Cosmética - Módulo I,Saúde
29,Noturno,Solteiro(a),Masculino,2019-08-22,Cancelamento da Programação,Curso Superior de Tecnologia em Logística - Módulo I,Gestäo
30,Noturno,Solteiro(a),Masculino,2019-08-22,Cancelamento da Programação,Curso Superior de Tecnologia em Logística - Módulo I,Gestäo
31,Noturno,Casado(a),Masculino,2019-08-22,Cancelamento da Programação,Superior de Tecnologia em Design Gráfico - I Módulo,Design
32,Noturno,Solteiro(a),Masculino,2019-08-22,Motivo de Trabalho,SUPERIOR DE TECNOLOGIA EM GESTÃO COMERCIAL - II MÓDULO,Gestäo
33,Noturno,Solteiro(a),Feminino,2019-08-21,Motivo de Viagens,SUPERIOR DE TECNOLOGIA EM GESTÃO COMERCIAL - II MÓDULO,Gestäo
34,Noturno,Solteiro(a),Feminino,2019-08-19,Outros Motivos,SUPERIOR DE TECNOLOGIA EM DESIGN GRÁFICO - II MÓDULO,Design
35,Noturno,Solteiro(a),Feminino,2019-08-17,Cancelamento da Programação,CURSO SUPERIOR DE TECNOLOGIA EM ESTÉTICA E COSMÉTICA - MÓDULO II,Saúde
36,Noturno,Solteiro(a),Masculino,2019-08-12,Motivo de Viagens,SUPERIOR DE TECNOLOGIA EM DESIGN GRÁFICO - II MÓDULO,Design
37,Noturno,Casado(a),Masculino,2019-08-12,Cancelamento da Programação,SUPERIOR DE TECNOLOGIA EM GESTÃO DA TECNOLOGIA DA INFORMAÇÃO - IV MÓDULO,Informática
38,Noturno,Casado(a),Masculino,2019-08-12,Cancelamento da Programação,SUPERIOR DE TECNOLOGIA EM GESTÃO DA TECNOLOGIA DA INFORMAÇÃO - IV MÓDULO,Informática
39,Noturno,Solteiro(a),Feminino,2019-08-09,Outros Motivos,SUPERIOR DE TECNOLOGIA EM DESIGN GRÁFICO - II MÓDULO,Design
40,Noturno,Solteiro(a),Feminino,2019-08-09,Outros Motivos,SUPERIOR DE TECNOLOGIA EM DESIGN GRÁFICO - II MÓDULO,Design
41,Noturno,Solteiro(a),Masculino,2019-07-26,Motivo de Estudo,SUPERIOR DE TECNOLOGIA EM SEGURANÇA DA INFORMAÇÃO - II MÓDULO,Informática
42,Noturno,Casado(a),Feminino,2019-07-13,Outros Motivos,SUPERIOR DE TECNOLOGIA EM GESTÃO COMERCIAL - II MÓDULO,Gestäo
43,Noturno,Solteiro(a),Feminino,2019-05-30,Motivo de Saúde,CURSO SUPERIOR DE TECNOLOGIA EM GESTÃO COMERCIAL - I MÓDULO,Gestäo
44,Noturno,Solteiro(a),Feminino,2019-05-28,Não se identificou com o curso,CURSO SUPERIOR DE TECNOLOGIA EM ESTÉTICA E COSMÉTICA - MÓDULO I,Saúde
45,Noturno,Solteiro(a),Masculino,2019-05-17,Não se identificou com o curso,Superior de Tecnologia em Análise e Desenvolvimento de Sistemas - Módulo I,Informática
46,Noturno,Solteiro(a),Masculino,2019-05-13,Não se identificou com o curso,Superior de Tecnologia em Análise e Desenvolvimento de Sistemas - Módulo I,Informática
47,Noturno,Solteiro(a),Masculino,2019-05-02,Outros Motivos,SUPERIOR DE TECNOLOGIA EM JOGOS DIGITAIS - II MÓDULO,Informática
48,Noturno,Solteiro(a),Masculino,2019-05-02,Outros Motivos,SUPERIOR DE TECNOLOGIA EM JOGOS DIGITAIS - II MÓDULO,Informática
49,Noturno,Solteiro(a),Masculino,2019-04-30,Outros Motivos,Superior de Tecnologia em Segurança da Informação - I Módulo,Informática
50,Noturno,Casado(a),Masculino,2019-04-30,Motivo de Viagens,Superior de Tecnologia em Segurança da Informação - I Módulo,Informática
51,Matutino,Solteiro(a),Masculino,2019-04-29,Motivo de Saúde,SUPERIOR DE TECNOLOGIA EM DESIGN GRÁFICO - I MÓDULO,Design
52,Noturno,Casado(a),Feminino,2019-04-24,Adiamento da Programação,CURSO SUPERIOR DE TECNOLOGIA EM ESTÉTICA E COSMÉTICA - MÓDULO I,Saúde
53,Noturno,Solteiro(a),Masculino,2019-04-24,Motivo de Trabalho,Superior de Tecnologia em Análise e Desenvolvimento de Sistemas - Módulo I,Informática
54,Noturno,Casado(a),Masculino,2019-04-23,Não se identificou com o curso,Superior de Tecnologia em Análise e Desenvolvimento de Sistemas - Módulo I,Informática
55,Noturno,Solteiro(a),Masculino,2019-04-23,Não se identificou com o curso,Superior de Tecnologia em Análise e Desenvolvimento de Sistemas - Módulo I,Informática
56,Noturno,Solteiro(a),Masculino,2019-04-22,Motivo de Trabalho,CURSO SUPERIOR DE TECNOLOGIA EM LOGÍSTICA - MÓDULO I,Gestäo
57,Noturno,Solteiro(a),Masculino,2019-04-17,Motivo de Trabalho,SUPERIOR DE TECNOLOGIA EM SEGURANÇA DA INFORMAÇÃO - V MÓDULO,Informática
58,Noturno,Solteiro(a),Masculino,2019-04-11,Motivo de Trabalho,SUPERIOR DE TECNOLOGIA EM ANÁLISE E DESENVOLVIMENTO DE SISTEMAS - MÓDULO III,Informática
59,Matutino,Solteiro(a),Masculino,2019-04-10,Mudança de Município,SUPERIOR DE TECNOLOGIA EM DESIGN GRÁFICO - III MÓDULO,Design
60,Noturno,Casado(a),Masculino,2019-04-09,Motivo de Trabalho,SUPERIOR DE TECNOLOGIA EM DESIGN GRÁFICO - I MÓDULO,Design
61,Noturno,Outros,Masculino,2019-04-09,Motivo de Trabalho,SUPERIOR DE TECNOLOGIA EM GESTÃO DA TECNOLOGIA DA INFORMAÇÃO - III MÓDULO ,Informática
62,Noturno,Solteiro(a),Feminino,2019-04-05,Outros Motivos,SUPERIOR DE TECNOLOGIA EM DESIGN GRÁFICO - V MÓDULO,Design
63,Noturno,Solteiro(a),Feminino,2019-04-04,Motivo de Trabalho,CURSO SUPERIOR DE TECNOLOGIA EM GESTÃO COMERCIAL - I MÓDULO,Gestäo
64,Noturno,Solteiro(a),Feminino,2019-04-03,Motivo de Trabalho,CURSO SUPERIOR DE TECNOLOGIA EM GESTÃO COMERCIAL - I MÓDULO,Gestäo
65,Noturno,Solteiro(a),Masculino,2019-04-02,Dificuldades Financeiras,Superior de Tecnologia em Gestão da Tecnologia da Informação - Módulo I,Informática
66,Noturno,Solteiro(a),Masculino,2019-04-01,Dificuldades Financeiras,CURSO SUPERIOR DE TECNOLOGIA EM LOGÍSTICA - MÓDULO I,Gestäo
67,Noturno,Solteiro(a),Masculino,2019-04-01,Motivo de Trabalho,SUPERIOR DE TECNOLOGIA EM ANÁLISE E DESENVOLVIMENTO DE SISTEMAS - MÓDULO III,Informática
68,Noturno,Solteiro(a),Masculino,2019-04-01,Mudança de Município,SUPERIOR DE TECNOLOGIA EM DESIGN GRÁFICO - I MÓDULO,Design
69,Noturno,Solteiro(a),Masculino,2019-04-01,Dificuldades Financeiras,Superior de Tecnologia em Gestão da Tecnologia da Informação - Módulo I,Informática
70,Noturno,Casado(a),Masculino,2019-03-30,Outros Motivos,CURSO SUPERIOR DE TECNOLOGIA EM GESTÃO COMERCIAL - I MÓDULO,Gestäo
71,Noturno,Casado(a),Masculino,2019-03-30,Outros Motivos,CURSO SUPERIOR DE TECNOLOGIA EM GESTÃO COMERCIAL - I MÓDULO,Gestäo
72,Noturno,Solteiro(a),Masculino,2019-03-26,Motivo de Trabalho,CURSO SUPERIOR DE TECNOLOGIA EM GESTÃO COMERCIAL - I MÓDULO,Gestäo
73,Noturno,Solteiro(a),Masculino,2019-03-26,Motivo de Trabalho,CURSO SUPERIOR DE TECNOLOGIA EM GESTÃO COMERCIAL - I MÓDULO,Gestäo
74,Matutino,Solteiro(a),Masculino,2019-03-26,Motivo de Estudo,SUPERIOR DE TECNOLOGIA EM DESIGN GRÁFICO - I MÓDULO - VN,Design
75,Matutino,Solteiro(a),Masculino,2019-03-26,Motivo de Estudo,SUPERIOR DE TECNOLOGIA EM DESIGN GRÁFICO - I MÓDULO - VN,Design
76,Noturno,Solteiro(a),Masculino,2019-03-23,Incompatibilidade de horário,CURSO SUPERIOR DE TECNOLOGIA EM GESTÃO COMERCIAL - I MÓDULO,Gestäo
77,Noturno,Solteiro(a),Masculino,2019-03-23,Motivo de Trabalho,Superior de Tecnologia em Análise e Desenvolvimento de Sistemas - Módulo I,Informática
78,Matutino,Solteiro(a),Feminino,2019-03-22,Cancelamento da Programação,CURSO SUPERIOR DE TECNOLOGIA EM ESTÉTICA E COSMÉTICA - MÓDULO I,Saúde
79,Matutino,Solteiro(a),Feminino,2019-03-22,Cancelamento da Programação,CURSO SUPERIOR DE TECNOLOGIA EM ESTÉTICA E COSMÉTICA - MÓDULO I,Saúde
80,Noturno,Solteiro(a),Masculino,2019-03-22,Motivo de Trabalho,Superior de Tecnologia em Análise e Desenvolvimento de Sistemas - Módulo I,Informática
81,Noturno,Casado(a),Masculino,2019-03-22,Motivo de Trabalho,SUPERIOR DE TECNOLOGIA EM ANÁLISE E DESENVOLVIMENTO DE SISTEMAS - MÓDULO III,Informática
82,Noturno,Solteiro(a),Masculino,2019-03-21,Incompatibilidade de horário,CURSO SUPERIOR DE TECNOLOGIA EM GESTÃO COMERCIAL - I MÓDULO,Gestäo
83,Noturno,Solteiro(a),Masculino,2019-03-21,Não se identificou com o curso,Superior de Tecnologia em Análise e Desenvolvimento de Sistemas - Módulo I,Informática
84,Noturno,Solteiro(a),Masculino,2019-03-20,Não se identificou com o curso,Superior de Tecnologia em Análise e Desenvolvimento de Sistemas - Módulo I,Informática
85,Noturno,Casado(a),Feminino,2019-03-20,Motivo de Trabalho,SUPERIOR DE TECNOLOGIA EM GESTÃO COMERCIAL - II MÓDULO,Gestäo
86,Noturno,Solteiro(a),Feminino,2019-03-19,Outros Motivos,SUPERIOR DE TECNOLOGIA EM DESIGN GRÁFICO - I MÓDULO,Design
87,Noturno,Solteiro(a),Feminino,2019-03-19,Outros Motivos,SUPERIOR DE TECNOLOGIA EM DESIGN GRÁFICO - I MÓDULO,Design
88,Noturno,Solteiro(a),Masculino,2019-03-19,Não se identificou com o curso,Superior de Tecnologia em Gestão da Tecnologia da Informação - Módulo I,Informática
89,Noturno,Solteiro(a),Masculino,2019-03-18,Não se identificou com o curso,Superior de Tecnologia em Gestão da Tecnologia da Informação - Módulo I,Informática
90,Noturno,Solteiro(a),Masculino,2019-03-11,Outros Motivos,Superior de Tecnologia em Análise e Desenvolvimento de Sistemas - Módulo I,Informática
91,Noturno,Casado(a),Masculino,2019-03-11,Motivo de Estudo,SUPERIOR DE TECNOLOGIA EM DESIGN GRÁFICO - I MÓDULO,Design
92,Noturno,Casado(a),Masculino,2019-03-11,Motivo de Estudo,SUPERIOR DE TECNOLOGIA EM DESIGN GRÁFICO - I MÓDULO,Design
93,Noturno,Solteiro(a),Masculino,2019-03-08,Outros Motivos,Superior de Tecnologia em Análise e Desenvolvimento de Sistemas - Módulo I,Informática
94,Noturno,Solteiro(a),Masculino,2019-03-08,Motivo de Trabalho,Superior de Tecnologia em Análise e Desenvolvimento de Sistemas - Módulo I,Informática
95,Noturno,Solteiro(a),Masculino,2019-03-08,Motivo de Trabalho,Superior de Tecnologia em Análise e Desenvolvimento de Sistemas - Módulo I,Informática
96,Noturno,Solteiro(a),Masculino,2019-03-08,Outros Motivos,Superior de Tecnologia em Segurança da Informação - I Módulo,Informática
97,Noturno,Solteiro(a),Masculino,2019-03-07,Outros Motivos,Superior de Tecnologia em Segurança da Informação - I Módulo,Informática
98,Noturno,Solteiro(a),Masculino,2019-03-06,Outros Motivos,Superior de Tecnologia em Análise e Desenvolvimento de Sistemas - Módulo I,Informática
99,Matutino,Solteiro(a),Feminino,2019-03-02,Cancelamento da Programação,Curso Superior de Tecnologia em Fotografia - I Módulo ,Artes
100,Matutino,Solteiro(a),Feminino,2019-02-28,Cancelamento da Programação,Curso Superior de Tecnologia em Fotografia - I Módulo ,Artes
101,Matutino,Solteiro(a),Feminino,2019-02-28,Cancelamento da Programação,Curso Superior de Tecnologia em Fotografia - I Módulo ,Artes
102,Noturno,Solteiro(a),Masculino,2019-02-28,Motivo de Estudo,Superior de Tecnologia em Análise e Desenvolvimento de Sistemas - Módulo I,Informática
103,Noturno,Solteiro(a),Masculino,2019-02-28,Motivo de Trabalho,Superior de Tecnologia em Gestão da Tecnologia da Informação - Módulo I,Informática
104,Noturno,Casado(a),Masculino,2019-02-27,Cancelamento da Programação,Curso Superior de Tecnologia em Fotografia - I Módulo ,Artes
105,Noturno,Casado(a),Masculino,2019-02-27,Cancelamento da Programação,Curso Superior de Tecnologia em Fotografia - I Módulo ,Artes
106,Noturno,Solteiro(a),Masculino,2019-02-27,Motivo de Trabalho,Superior de Tecnologia em Gestão da Tecnologia da Informação - Módulo I,Informática
107,Noturno,Divorciado(a),Masculino,2019-02-26,Cancelamento da Programação,Curso Superior de Tecnologia em Fotografia - I Módulo ,Artes
108,Matutino,Solteiro(a),Masculino,2019-02-26,Motivo de Trabalho,SUPERIOR DE TECNOLOGIA EM DESIGN GRÁFICO - I MÓDULO - VN,Design
109,Matutino,Solteiro(a),Masculino,2019-02-26,Não se identificou com o curso,SUPERIOR DE TECNOLOGIA EM GESTÃO DA TECNOLOGIA DA INFORMAÇÃO - MÓDULO I - VN,Informática
110,Matutino,Solteiro(a),Masculino,2019-02-26,Cancelamento da Programação,SUPERIOR DE TECNOLOGIA EM GESTÃO DA TECNOLOGIA DA INFORMAÇÃO - MÓDULO I - VN,Informática
111,Noturno,Solteiro(a),Masculino,2019-02-26,Distância / meio de transporte,Superior de Tecnologia em Segurança da Informação - I Módulo,Informática
112,Matutino,Solteiro(a),Masculino,2019-02-25,Cancelamento da Programação,Curso Superior de Tecnologia em Fotografia - I Módulo ,Artes
113,Noturno,Divorciado(a),Masculino,2019-02-25,Cancelamento da Programação,Curso Superior de Tecnologia em Fotografia - I Módulo ,Artes
114,Noturno,Casado(a),Masculino,2019-02-25,Cancelamento de matr¿cula,CURSO SUPERIOR DE TECNOLOGIA EM LOGÍSTICA - MÓDULO I,Gestäo
115,Matutino,Solteiro(a),Masculino,2019-02-25,Cancelamento da Programação,SUPERIOR DE TECNOLOGIA EM GESTÃO DA TECNOLOGIA DA INFORMAÇÃO - MÓDULO I - VN,Informática
116,Matutino,Solteiro(a),Masculino,2019-02-25,Cancelamento da Programação,SUPERIOR DE TECNOLOGIA EM GESTÃO DA TECNOLOGIA DA INFORMAÇÃO - MÓDULO I - VN,Informática
117,Matutino,Solteiro(a),Masculino,2019-02-25,Cancelamento da Programação,SUPERIOR DE TECNOLOGIA EM GESTÃO DA TECNOLOGIA DA INFORMAÇÃO - MÓDULO I - VN,Informática
118,Matutino,Solteiro(a),Masculino,2019-02-25,Não se identificou com o curso,SUPERIOR DE TECNOLOGIA EM GESTÃO DA TECNOLOGIA DA INFORMAÇÃO - MÓDULO I - VN,Informática
119,Matutino,Solteiro(a),Masculino,2019-02-25,Cancelamento da Programação,SUPERIOR DE TECNOLOGIA EM GESTÃO DA TECNOLOGIA DA INFORMAÇÃO - MÓDULO I - VN,Informática
120,Matutino,Solteiro(a),Masculino,2019-02-25,Cancelamento da Programação,SUPERIOR DE TECNOLOGIA EM GESTÃO DA TECNOLOGIA DA INFORMAÇÃO - MÓDULO I - VN,Informática
121,Matutino,Solteiro(a),Masculino,2019-02-25,Cancelamento da Programação,Superior de Tecnologia em Jogos Digitais - I Módulo,Informática
122,Noturno,Solteiro(a),Masculino,2019-02-25,Distância / meio de transporte,Superior de Tecnologia em Segurança da Informação - I Módulo,Informática
123,Noturno,Solteiro(a),Masculino,2019-02-25,Outros Motivos,SUPERIOR DE TECNOLOGIA EM SEGURANÇA DA INFORMAÇÃO - III MÓDULO,Informática
124,Matutino,Solteiro(a),Feminino,2019-02-22,Cancelamento da Programação,Curso Superior de Tecnologia em Fotografia - I Módulo ,Artes
125,Matutino,Solteiro(a),Feminino,2019-02-22,Cancelamento da Programação,Curso Superior de Tecnologia em Fotografia - I Módulo ,Artes
126,Matutino,Solteiro(a),Masculino,2019-02-22,Cancelamento da Programação,Curso Superior de Tecnologia em Fotografia - I Módulo ,Artes
127,Noturno,Solteiro(a),Masculino,2019-02-22,Motivo de Trabalho,CURSO SUPERIOR DE TECNOLOGIA EM LOGÍSTICA - MÓDULO I,Gestäo
128,Noturno,Solteiro(a),Masculino,2019-02-22,Motivo de Estudo,Superior de Tecnologia em Análise e Desenvolvimento de Sistemas - Módulo I,Informática
129,Matutino,Solteiro(a),Masculino,2019-02-22,Motivo de Trabalho,SUPERIOR DE TECNOLOGIA EM DESIGN GRÁFICO - I MÓDULO - VN,Design
130,Matutino,Solteiro(a),Masculino,2019-02-22,Cancelamento da Programação,Superior de Tecnologia em Jogos Digitais - I Módulo,Informática
131,Noturno,Divorciado(a),Feminino,2019-02-21,Adiamento da Programação,CURSO SUPERIOR DE TECNOLOGIA EM ESTÉTICA E COSMÉTICA - MÓDULO I,Saúde
132,Noturno,Solteiro(a),Feminino,2019-02-21,Cancelamento da Programação,Curso Superior de Tecnologia em Fotografia - I Módulo ,Artes
133,Matutino,Solteiro(a),Masculino,2019-02-21,Cancelamento da Programação,Curso Superior de Tecnologia em Fotografia - I Módulo ,Artes
134,Matutino,Solteiro(a),Masculino,2019-02-21,Cancelamento da Programação,Curso Superior de Tecnologia em Fotografia - I Módulo ,Artes
135,Noturno,Divorciado(a),Feminino,2019-02-21,Não se identificou com o curso,CURSO SUPERIOR DE TECNOLOGIA EM GESTÃO COMERCIAL - I MÓDULO,Gestäo
136,Noturno,Solteiro(a),Masculino,2019-02-21,Motivo de Trabalho,CURSO SUPERIOR DE TECNOLOGIA EM LOGÍSTICA - MÓDULO I,Gestäo
137,Noturno,Solteiro(a),Feminino,2019-02-21,Não se identificou com o curso,Superior de Tecnologia em Gestão da Tecnologia da Informação - Módulo I,Informática
138,Noturno,Solteiro(a),Masculino,2019-02-21,Não se identificou com o curso,Superior de Tecnologia em Gestão da Tecnologia da Informação - Módulo I,Informática
139,Noturno,Solteiro(a),Masculino,2019-02-21,Transferência de Programação,SUPERIOR DE TECNOLOGIA EM GESTÃO DA TECNOLOGIA DA INFORMAÇÃO - V MÓDULO,Informática
140,Noturno,Solteiro(a),Masculino,2019-02-21,Cancelamento da Programação,Superior de Tecnologia em Jogos Digitais - I Módulo,Informática
141,Noturno,Solteiro(a),Masculino,2019-02-21,Cancelamento da Programação,Superior de Tecnologia em Jogos Digitais - I Módulo,Informática
142,Noturno,Solteiro(a),Masculino,2019-02-21,Cancelamento da Programação,Superior de Tecnologia em Jogos Digitais - I Módulo,Informática
143,Noturno,Solteiro(a),Feminino,2019-02-20,Cancelamento da Programação,Curso Superior de Tecnologia em Fotografia - I Módulo ,Artes
144,Noturno,Solteiro(a),Feminino,2019-02-20,Cancelamento da Programação,Curso Superior de Tecnologia em Fotografia - I Módulo ,Artes
145,Noturno,Divorciado(a),Feminino,2019-02-20,Não se identificou com o curso,CURSO SUPERIOR DE TECNOLOGIA EM GESTÃO COMERCIAL - I MÓDULO,Gestäo
146,Noturno,Solteiro(a),Masculino,2019-02-20,Cancelamento da Programação,Superior de Tecnologia em Jogos Digitais - I Módulo,Informática
147,Noturno,Solteiro(a),Masculino,2019-02-20,Cancelamento da Programação,Superior de Tecnologia em Jogos Digitais - I Módulo,Informática
148,Noturno,Divorciado(a),Feminino,2019-02-19,Adiamento da Programação,CURSO SUPERIOR DE TECNOLOGIA EM ESTÉTICA E COSMÉTICA - MÓDULO I,Saúde
149,Noturno,Solteiro(a),Feminino,2019-02-19,Não se identificou com o curso,Superior de Tecnologia em Gestão da Tecnologia da Informação - Módulo I,Informática
150,Noturno,Solteiro(a),Masculino,2019-02-19,Não se identificou com o curso,Superior de Tecnologia em Gestão da Tecnologia da Informação - Módulo I,Informática
151,Noturno,Solteiro(a),Masculino,2019-02-19,Transferência de Programação,SUPERIOR DE TECNOLOGIA EM GESTÃO DA TECNOLOGIA DA INFORMAÇÃO - V MÓDULO,Informática
152,Noturno,Solteiro(a),Masculino,2019-02-19,Cancelamento da Programação,Superior de Tecnologia em Jogos Digitais - I Módulo,Informática
153,Noturno,Solteiro(a),Feminino,2019-02-18,Cancelamento da Programação,Curso Superior de Tecnologia em Fotografia - I Módulo ,Artes
154,Matutino,Solteiro(a),Feminino,2019-02-18,Motivo de Trabalho,SUPERIOR DE TECNOLOGIA EM DESIGN GRÁFICO - I MÓDULO - VN,Design
155,Matutino,Solteiro(a),Feminino,2019-02-18,Motivo de Trabalho,SUPERIOR DE TECNOLOGIA EM DESIGN GRÁFICO - I MÓDULO - VN,Design
156,Noturno,Casado(a),Masculino,2019-02-18,Outros Motivos,SUPERIOR DE TECNOLOGIA EM SEGURANÇA DA INFORMAÇÃO - IV MÓDULO,Informática
157,Noturno,Solteiro(a),Masculino,2019-02-13,Motivo de Trabalho,SUPERIOR DE TECNOLOGIA EM ANÁLISE E DESENVOLVIMENTO DE SISTEMAS - MÓDULO II,Informática
158,Noturno,Solteiro(a),Masculino,2019-02-13,Outros Motivos,SUPERIOR DE TECNOLOGIA EM GESTÃO COMERCIAL - II MÓDULO,Gestäo
159,Noturno,Casado(a),Feminino,2019-02-12,Motivo de Trabalho,SUPERIOR DE TECNOLOGIA EM GESTÃO COMERCIAL - II MÓDULO,Gestäo
160,Matutino,Solteiro(a),Masculino,2019-02-11,Outros Motivos,SUPERIOR DE TECNOLOGIA EM DESIGN GRÁFICO - III MÓDULO,Design
161,Noturno,Solteiro(a),Masculino,2019-02-11,Outros Motivos,SUPERIOR DE TECNOLOGIA EM SEGURANÇA DA INFORMAÇÃO - V MÓDULO,Informática
162,Noturno,Solteiro(a),Masculino,2019-02-07,Motivo de Estudo,SUPERIOR DE TECNOLOGIA EM ANÁLISE E DESENVOLVIMENTO DE SISTEMAS - MÓDULO III,Informática
163,Noturno,Solteiro(a),Feminino,2019-02-01,Mudança de Município,SUPERIOR DE TECNOLOGIA EM JOGOS DIGITAIS - II MÓDULO,Informática
164,Noturno,Solteiro(a),Feminino,2019-01-28,Mudança de Município,SUPERIOR DE TECNOLOGIA EM JOGOS DIGITAIS - II MÓDULO,Informática
165,Noturno,Solteiro(a),Masculino,2019-01-28,Motivo de Estudo,SUPERIOR DE TECNOLOGIA EM JOGOS DIGITAIS - II MÓDULO,Informática
166,Noturno,Solteiro(a),Masculino,2019-01-23,Motivo de Estudo,SUPERIOR DE TECNOLOGIA EM JOGOS DIGITAIS - II MÓDULO,Informática
167,Matutino,Solteiro(a),Masculino,2019-01-08,Outros Motivos,Superior de Tecnologia em Gestão da Tecnologia da Informação - I Módulo,Informática
168,Noturno,Solteiro(a),Masculino,2018-12-03,Motivo de Trabalho,SUPERIOR DE TECNOLOGIA EM GESTÃO COMERCIAL - II MÓDULO,Gestäo
